Port,Land region,Country/territory (and subdivision),Body of water,Coordinates,Features and notes
Carrabelle,North America,United States Florida,,,[4]
Cartagena,South America,Colombia Bolívar,Caribbean Sea,,
Cartagena,Europe,Spain,Mediterranean Sea,,
Cascais,Europe,Portugal,,,
Cayenne,South America / European Union,French Guiana,,,
Celestún,North America,Mexico Yucatán,,,
Ceuta,Africa,Spain,Mediterranean Sea Alboran Sea,,
Chalcis,Europe,Greece,Mediterranean Sea Aegean Sea,,
Champoton,North America,Mexico Campeche,Gulf of Mexico,,
Charleston,North America,United States South Carolina,Charleston Harbor,32.789°N 79.922°W,[4] US rank: 38
Charlottetown,North America,Canada Prince Edward Island,Gulf of Saint Lawrence,46.24°N 63.14°W,Charlottetown Harbour Authority[1][2]
Cherbourg,Europe,France,English Channel,,
Cherbourg-Octeville,Europe,France,,,
Chester,North America,United States Pennsylvania,Delaware River,39.854°N 75.322°W,US rank: 119
Chetumal,North America,Mexico Quintana Roo,Caribbean Sea,,
Chioggia,Europe,Italy,Mediterranean Sea Adriatic Sea,,
Chios,Europe,Greece,Mediterranean Sea Aegean Sea,,
Chornomorsk,Europe,Ukraine,Black Sea,,
Ciudad Bolívar,South America,Venezuela Bolívar,Orinoco River,,
Ciudad del Carmen,North America,Mexico Campeche,Gulf of Mexico Bay of Campeche,,fis.com/campeche
Ciudad Madero,North America,Mexico Tamaulipas,,,
Civitavecchia,Europe,Italy,Mediterranean Sea Tyrrhenian Sea,,
Coatzacoalcos,North America,Mexico Veracruz,Gulf of Mexico via Coatzacoalcos River,,apicoatza.com
Colon City,Central America,Panama,Caribbean Sea,9.359°N 79.901°W,Panama Canal
Colonia del Sacramento,South America,Uruguay,,,
Columbus,North America,United States Georgia,,,[4]
Comodoro Rivadavia,South America,Argentina,,,
Conakry,Africa,Guinea,,,
Concarneau,Europe,France,,,
Copenhagen,Europe,Denmark,Øresund,,
Corinth,Europe,Greece,Mediterranean Sea Ionian Sea Gulf of Corinth,,
Cork,Europe,Ireland,,,
Corner Brook,North America,Canada Newfoundland and Labrador,Bay of Islands,48.967°N 57.95°W,Newfoundland Island
Corpus Christi,North America,United States Texas,Gulf of Mexico Corpus Christi Bay,27.813°N 97.398°W,[4] US rank: 5
Cotonou,Africa,Benin,,,
Cozumel,North America,Mexico Quintana Roo,,,
Cuxhaven,Europe,Germany,North Sea,,
Dakar,Africa,Senegal,,,
Datça,West Asia,Turkey,Mediterranean Sea Aegean Sea,,
Delfzijl,Europe,Netherlands,North Sea,,
Den Helder,Europe,Netherlands,,,
Derry,Europe,United Kingdom Northern Ireland,,,
Dieppe,Europe,France,,,
Dieppe,Europe,France,English Channel,,
Digby Nova Scotia,North America,Canada Nova Scotia,Annapolis Basin,,
Douala,Africa,Cameroon,Wouri River,,8.5 m (28 ft) draft
Douglas,Europe,Isle of Man,Irish Sea,,
Dover,Europe,United Kingdom England,English Channel,,The Port of Dover is one of the world's busiest maritime passenger ports
Drogheda,Europe,Ireland,Irish Sea,,
Dublin Port,Europe,Ireland,Irish Sea,,
Dún Laoghaire,Europe,Ireland,Irish Sea,,
Dundalk,Europe,Ireland,Irish Sea,,
Dundee,Europe,United Kingdom Scotland,North Sea,,
Dunkirk,Europe,France,,,
Dunkirk,Europe,France,English Channel,,
Dzilam de Bravo,North America,Mexico Yucatán,,,
Eastport,North America,United States Maine,Friar Roads,44.914°N 67.004°W,portofeastport.org
Edinburgh of the Seven Seas,Mid-Atlantic / Africa,Saint Helena Ascension and Tristan da Cunha,,,
Eemshaven,Europe,Netherlands,North Sea,,
El Musel,Europe,Spain Gijón,Bay of Biscay,,
El Puerto de Santa María,Europe,Spain,,,
Eleusina,Europe,Greece,Mediterranean Sea Aegean Sea,,
Ellesmere,Europe,England,Irish Sea,,
Emden,Europe,Germany,North Sea,,
Esbjerg,Europe,Denmark,North Sea,,
Fall River,North America,United States Massachusetts,Taunton River,41.722°N 71.159°W,[4] US rank: 92
Falmouth,Europe,United Kingdom England,English Channel,,
Fernandina Beach,North America,United States Florida,,,[4]
Ferrol,Europe,Spain,,,
Fethiye,West Asia,Turkey,Mediterranean Sea Levantine Sea Gulf of Fethiye,,
Figueira da Foz,Europe,Portugal,,,
Fishguard Harbour (Goodwick),Europe,United Kingdom Wales,Irish Sea,,
Fleetwood,Europe,United Kingdom England,Irish Sea,,
Florø,Europe,Norway,,,
Flotta,Europe,United Kingdom Scotland,North Sea,,
Fort-de-France,Caribbean,Martinique,Caribbean Sea,,
Fortaleza,South America,Brazil Ceará,,,
Fox Bay,South America,Falkland Islands,,,
Freeport,North America,United States Texas,Gulf of Mexico via Brazos River,28.961°N 95.371°W,[4] US rank: 27
Freeport,Caribbean,Bahamas,,,
Freetown,Africa,Sierra Leone,,,
Funchal,Europe,Portugal,,,
Galveston,North America,United States Texas,Gulf of Mexico Galveston Bay,29.31°N 94.813°W,[4] US rank: 40
Galway,Europe,Ireland,,,
Garston,Europe,United Kingdom England,Irish Sea,,
Genoa,Europe,Italy,Mediterranean Sea Ligurian Sea,,
Georgetown,Mid-Atlantic / Africa,Saint Helena Ascension and Tristan da Cunha,,,
Georgetown,North America,United States South Carolina,Winyah Bay,33.367°N 79.29°W,[4]
Georgetown,South America,Guyana,,,
Gibraltar,Europe,Gibraltar,Mediterranean Sea Strait of Gibraltar,,
Gijón,Europe,Spain,,,
Gioia Tauro,Europe,Italy,Mediterranean Sea Tyrrhenian Sea,,
Glasgow,Europe,United Kingdom Scotland,,,
Gloucester,North America,United States Massachusetts,,,[4]
Gothenburg,Europe,Sweden,North Sea,,
Grand Harbour,Europe,Malta,Mediterranean Sea,,
Greenock,Europe,United Kingdom Scotland,,,
Grimsby,Europe,United Kingdom England,North Sea,,
Grytviken,Mid-Atlantic / South America,South Georgia and the South Sandwich Islands,,,
Guanta,South America,Venezuela Anzoátegui,Caribbean Sea,,
Gulfport,North America,United States Mississippi,Gulf of Mexico Mississippi Sound,30.352°N 89.085°W,[4] shipmspa.com ; US rank: 102
Hafnarfjörður,Mid-Atlantic / Europe,Iceland,,,
Halifax,North America,Canada Nova Scotia,,44.65°N 63.567°W,CA rank: 6
Hamilton,Mid-Atlantic / North America,Bermuda,,,
Happy Valley-Goose Bay,North America,Canada Newfoundland and Labrador,Hamilton Inlet,53.302°N 60.417°W,Labrador[1][3]
Harstad,Europe,Norway,,,
Harwich International Port,Europe,United Kingdom England,North Sea,,
Haugesund,Europe,Norway,,,
Havana,Caribbean,Cuba,Straits of Florida,,
Helsingborg,Europe,Sweden,Øresund,,
Hempstead Harbor,North America,United States New York,Long Island Sound,40.874°N 73.673°W,US rank: 141
Heraklion,Europe,Greece Crete,Mediterranean Sea Aegean Sea,,
Heysham,Europe,United Kingdom England,Irish Sea,,
Holyhead,Europe,United Kingdom Wales,Irish Sea,,
Hopewell,North America,United States Virginia,James River,37.29°N 77.303°W,
Horta,Europe,Portugal,,,
Houston,North America,United States Texas,Gulf of Mexico Houston Ship Channel,29.748°N 95.291°W,[4] US rank: 2
Huelva,Europe,Spain,,,
Hull,Europe,United Kingdom England,North Sea,,
Iberia District,North America,United States Louisiana,Gulf of Mexico Bayou Teche,30.004°N 91.818°W,
IJmuiden,Europe,Netherlands,,,
Ile Boulay,Africa,Côte d'Ivoire,,,
Imbituba,South America,Brazil Santa Catarina,,,
Immingham,Europe,United Kingdom England,North Sea,,
Intracoastal City,North America,United States Louisiana,Gulf of Mexico Vermilion River,29.784°N 92.339°W,
Inverness,Europe,United Kingdom Scotland,,,
Iskenderun,West Asia,Turkey,Mediterranean Sea Cilician Sea,,
Isla Aguada,North America,Mexico Campeche,,,
Isla Mujeres,North America,Mexico Quintana Roo,,,
Istanbul,Europe & West Asia,Turkey,Sea of Marmara,,
Itaguaí (Sepetiba),South America,Brazil Rio de Janeiro,,,
Itajaí,South America,Brazil Santa Catarina,,,
Itapoá,South America,Brazil Santa Catarina,,,
Itaqui,South America,Brazil Maranhão,Uruguay River,,
İzmir,West Asia,Turkey,Mediterranean Sea Aegean Sea,,
İzmit,West Asia,Turkey,Sea of Marmara,,
Jacksonville,North America,United States Florida,St. Johns River,30.321°N 81.665°W,[4] US rank: 33
Jamestown,Mid-Atlantic / Africa,Saint Helena Ascension and Tristan da Cunha,,,
Kavala,Europe,Greece,Mediterranean Sea Aegean Sea,,
Key West,North America,United States Florida,Gulf of Mexico Straits of Florida,24.559°N 81.784°W,[4]
Kiel,Europe,Germany,,,
Killybegs,Europe,Ireland,,,
King Edward Point,Mid-Atlantic / South America,South Georgia and the South Sandwich Islands,,,
Kingston,Caribbean,Jamaica,Caribbean Sea,,
Kingstown,Caribbean,St. Vincent,,,
Klaksvík,Mid-Atlantic / Europe,Faroe Islands,,,
Kribi,Africa,Cameroon,,,16 m (52 ft) draft
Kristiansand,Europe,Norway,North Sea,,
Kristiansund,Europe,Norway,North Sea,,
Kuşadası,West Asia,Turkey,Mediterranean Sea Aegean Sea,,
La Barra,North America,Mexico Tabasco,,,
La Guaira,South America,Venezuela Vargas,Caribbean Sea,,
La Paloma,South America,Uruguay Rocha,,,
La Rochelle,Europe,France,Bay of Biscay,,
La Rochelle,Europe,France,Bay of Biscay,,
Lagos,Africa,Nigeria,,,
Lagos,Europe,Portugal,,,
Laguna,South America,Brazil Santa Catarina,,,
Lake Charles,North America,United States Louisiana,Gulf of Mexico via Calcasieu Ship Channel and Contraband Bayou,30.224°N 93.222°W,US rank: 15
Larnaca,West Asia / European Union,Cyprus,Mediterranean Sea Levantine Sea Larnaca Bay,,
Larne,Europe,United Kingdom Northern Ireland,Irish Sea,,
Las Coloradas,North America,Mexico Yucatán,,,
Las Palmas de Gran Canaria,Africa / European Union,Canary Islands,,,
Las Palmas de Gran Canaria,Europe,Spain,,,
Latakia,West Asia,Syria,Mediterranean Sea Levantine Sea,,
Laurium,Europe,Greece,Mediterranean Sea Aegean Sea,,
Le Havre,Europe,France,,,
Le Havre,Europe,France,English Channel,,
Leith,Europe,United Kingdom Scotland,North Sea,,
Leixões,Europe,Portugal,,,
Les Sables-d'Olonne,Europe,France,Bay of Biscay,,
Libreville,Africa,Gabon,,,
Limassol,West Asia / European Union,Cyprus,Mediterranean Sea Levantine Sea Limassol Bay,,
Limerick,Europe,Ireland,,,
Limón Costa Rica,Central America,Costa Rica Limón Province,Caribbean Sea Limón coast,9.593°N 83.035°W,japdeva.go.cr
Lisbon,Europe,Portugal,,,
Liverpool,Europe,United Kingdom England,Irish Sea,,
Livorno,Europe,Italy,Mediterranean Sea Tyrrhenian Sea,,
Lomé,Africa,Togo,,,
London,Europe,United Kingdom England,North Sea,,
Lorient,Europe,France,,,
Louisiana Offshore Oil Port,North America,United States Louisiana,Gulf of Mexico,28.655°N 89.901°W,
Luanda,Africa,Angola,,,
Macaé (Imbetiba),South America,Brazil Rio de Janeiro,,,
Macapá,South America,Brazil Amapá,Amazon River,,
Maceió,South America,Brazil Alagoas,,,
Malabo,Africa,Equatorial Guinea,,,
Málaga,Europe,Spain,Mediterranean Sea Alboran Sea,,
Malmö,Europe,Sweden,Øresund,,
Mangalia,Europe,Romania,Black Sea,,
Mar del Plata,South America,Argentina,,,
Maracaibo,South America,Venezuela Zulia,Caribbean Sea,,
Marcus Hook,North America,United States Pennsylvania,Delaware River,39.815°N 75.404°W,US rank: 31
Mare Harbour,South America,Falkland Islands,,,
Marín,Europe,Spain,,,
Mariupol,Europe,Ukraine,Black Sea Sea of Azov,,
Marmaris,West Asia,Turkey,Mediterranean Sea,,
Marseille,Europe,France,Mediterranean Sea Gulf of Lion,,
Martha's Vineyard,North America,United States Massachusetts,,,
Matagorda Ship Channel,North America,United States Texas,Gulf of Mexico Matagorda Bay,28.435002°N 96.335528°W,
Matamoros,North America,Mexico Tamaulipas,Gulf of Mexico,,
Matanzas,Caribbean,Cuba Matanzas,Gulf of Mexico,,
Melford (proposed),North America,Canada Nova Scotia,Strait of Canso,,
Melilla,Africa,Spain,Mediterranean Sea Alboran Sea,,
Mersa Matruh,Africa,Egypt,Mediterranean Sea Levantine Sea,,
Mersin,West Asia,Turkey,Mediterranean Sea Cilician Sea,,
Messina,Europe,Italy Sicily,Mediterranean Sea Strait of Messina,,
Miami,North America,United States Florida,Biscayne Bay,25.784°N 80.183°W,US rank: 61[6]
Middlesbrough,Europe,United Kingdom England,North Sea,,
Midia Năvodari,Europe,Romania,Black Sea,,
Milford Haven,Europe,United Kingdom Wales,Irish Sea,,
Milford Haven Waterway,Europe,United Kingdom Wales,Bristol Channel,,
Misrata,Africa,Libya,Mediterranean Sea,,
Mobile,North America,United States Alabama,Gulf of Mexico Mobile Bay,30.725°N 88.041°W,[4] US rank: 13
Molde,Europe,Norway,,,
Monfalcone,Europe,Italy,Mediterranean Sea Adriatic Sea,,
Monrovia,Africa,Liberia,,,
Montevideo,South America,Uruguay,,,
Morehead City,North America,United States North Carolina,Bogue Sound,34.717°N 76.724°W,[4] US rank: 59; North Carolina State Ports Authority
Mostyn,Europe,United Kingdom Wales,Irish Sea,,
Mytilene,Europe,Greece,Mediterranean Sea Aegean Sea,,
Nador,Africa,Morocco,Mediterranean Sea Alboran Sea,,
Namsos,Europe,Norway,,,
Nantes,Europe,France,,,
Nantucket,North America,United States Massachusetts,,,
Naples,Europe,Italy,Mediterranean Sea Tyrrhenian Sea,,
Narvik,Europe,Norway,,,
Nassau,Caribbean,Bahamas,,,
Natal,South America,Brazil Rio Grande do Norte,,,
Nazaré,Europe,Portugal,,,
Necochea,South America,Argentina,,,
New Bedford,North America,United States Massachusetts,Buzzards Bay,41.652°N 70.934°W,[4]portofnewbedford.org; New Bedford Harbor Development Commission
New Castle,North America,United States Delaware,Delaware River,39.657°N 75.562°W,US rank: 114
New Haven,North America,United States Connecticut,Long Island Sound,41.299°N 72.905°W,[4] US rank: 50
New London,North America,United States Connecticut,Thames River,41.35°N 72.106°W,[4]
New Orleans,North America,United States Louisiana,Gulf of Mexico,,[4]
Newcastle,Europe,United Kingdom England,North Sea,,
Newhaven,Europe,United Kingdom England,English Channel,,
Newport,North America,United States Rhode Island,,,[4]
Newport,Europe,United Kingdom Wales,Bristol Channel,,
Niterói,South America,Brazil Rio de Janeiro,,,
Nouadhibou,Africa,Mauritania,,,
Nouakchott,Africa,Mauritania,,,
Novorossiysk,Europe,Russia,Black Sea,,
Odesa,Europe,Ukraine,Black Sea,,
Olhão,Europe,Portugal,,,
Orange,North America,United States Texas,Gulf of Mexico via Sabine River,30.098°N 93.721°W,[4] portoforange.com
Oranjestad,Caribbean,Aruba,Caribbean Sea,,
Oslo,Europe,Norway,North Sea,,
Ostend (Oostende),Europe,Belgium,North Sea,,
Palermo,Europe,Sicily Italy,Mediterranean Sea Tyrrhenian Sea,,
Palm Beach,North America,United States Florida,Lake Worth Lagoon,26.769°N 80.053°W,[4] US rank: 97
Palma de Mallorca,Europe,Spain,Mediterranean Sea Balearic Sea Palma Bay,,
Panama City,North America,United States Florida,Gulf of Mexico St. Andrew Bay,30.19°N 84.199°W,[4] US rank: 87
Paramaribo,South America,Suriname,,,
Paranaguá,South America,Brazil Paraná,,,
Pasaia,Europe,Spain,Bay of Biscay,,
Pascagoula,North America,United States Mississippi,Gulf of Mexico Pascagoula Bay,30.348°N 88.559°W,[4] portofpascagoula.com; US rank: 17
Patras,Europe,Greece,Mediterranean Sea Ionian Sea Gulf of Patras,,
Pecém,South America,Brazil Ceará,,,
Pedernales,South America,Venezuela,Gulf of Paria,,
Pembroke Dock,Europe,United Kingdom Wales,Bristol Channel,,
Pembroke Dock,Europe,United Kingdom Wales,Irish Sea,,
Peniche,Europe,Portugal,,,
Penn Manor,North America,United States Pennsylvania,Delaware River,40.136°N 74.741°W,
Pensacola,North America,United States Florida,Gulf of Mexico Pensacola Bay,30.408°N 87.258°W,[4] US rank: 144
Peterhead,Europe,United Kingdom Scotland,North Sea,,
Philadelphia,North America,United States Pennsylvania,Delaware River,39.919°N 75.202°W,US rank: 21[6]
Piombino,Europe,Italy,Mediterranean Sea Tyrrhenian Sea,,
Piraeus,Europe,Greece,Mediterranean Sea Aegean Sea Myrtoan Sea,,
Piriapolis,South America,Uruguay,,,
Pivdenne,Europe,Ukraine,Black Sea,,
Plaquemines Port,North America,United States Louisiana,Mississippi River,29.48°N 89.687°W,US rank: 12
Plymouth,North America,United States Massachusetts,,,[4]
Plymouth,Europe,United Kingdom England,English Channel,,
Plymouth,Europe,United Kingdom England,English Channel,,
Point Lisas,Caribbean,Trinidad and Tobago,Gulf of Paria,,
Pointe-à-Pitre,Caribbean,Guadeloupe,Caribbean Sea,,
Ponce,Caribbean,Puerto Rico,Caribbean Sea,,
Ponta Delgada,Europe,Portugal,,,
Poole,Europe,United Kingdom England,English Channel,,The Port of Poole
Porlamar (Isla Margarita),South America,Venezuela Nueva Esparta,Caribbean Sea,,
Port Arthur,North America,United States Texas,Gulf of Mexico via Sabine River,29.831°N 93.961°W,[4] US rank: 25
Port Canaveral,North America,United States Florida,Banana River,28.414°N 80.608°W,US rank: 93
Port Elizabeth,North America,United States New Jersey,,,
Port Everglades,North America,United States Florida,,26.093°N 80.118°W,[4]
Port Fourchon,North America,United States Louisiana,Gulf of Mexico Bayou Lafourche,29.127°N 90.215°W,
Port Gentil,Africa,Gabon,,,
Port Harcourt,Africa,Nigeria,,,
Port Jefferson,North America,United States New York,Long Island Sound,40.949°N 73.072°W,US rank: 129
Port Manatee,North America,United States Florida,Gulf of Mexico Tampa Bay,27.66°N 82.603°W,portmanatee.com; US rank: 82
Port Nolloth,Africa,South Africa,,,
Port of Albany–Rensselaer,North America,United States New York,Hudson River,42.628°N 73.757°W,US rank: 63
Port of Amsterdam,Europe,Netherlands,North Sea,,
Port of Antwerp,Europe,Belgium,North Sea,,
Port of Ashdod,West Asia,Israel,Mediterranean Sea Levantine Sea,,
Port of Bar,Europe,Montenegro,Mediterranean Sea Adriatic Sea,,
Port of Bruges-Zeebrugge,Europe,Belgium,North Sea,,
Port of Burgas,Europe,Bulgaria,Gulf of Burgas,,
Port of Cabo Rojo,Caribbean,Dominican Republic,Caribbean Sea,,
Port of Casablanca,Africa,Morocco,,,
Port of Constanţa,Europe,Romania,Black Sea,,
Port of Dover,Europe,United Kingdom England,English Channel,,
Port of Durrës,Europe,Albania,Mediterranean Sea Adriatic Sea,"41°18'29.0""N 19°27'17.3""E",
Port of Erdemir,West Asia,Turkey,Black Sea,,
Port of Felixstowe,Europe,United Kingdom England,North Sea,,
Port of Ghent,Europe,Belgium,Ghent–Terneuzen Canal,,
Port of Haifa,West Asia,Israel,Mediterranean Sea Levantine Sea,,
Port of Hamburg,Europe,Germany,North Sea,,
Port of Koper,Europe,Slovenia,Mediterranean Sea Adriatic Sea,,
Port of London,Europe,United Kingdom England,English Channel,,
Port of New Hampshire,North America,United States New Hampshire,Piscataqua River Portsmouth Harbor,43.074°N 70.738°W,[4] DPH Market Street Marine Terminal located in Portsmouth New Hampshire; also oversees marinas in Rye Harbor and Hampton Harbor;[9] US rank: 85
Port of New York and New Jersey,North America,United States New York and New Jersey,,40.674°N 74.038°W,Includes Port Newark–Elizabeth Marine Terminal[4] US rank: 3[5][6]
Port of Paulsboro,North America,United States New Jersey,Delaware River/Mantua Creek,39.827°N 75.227°W,US rank: 39; Paulsboro Marine Terminal - Owned by the South Jersey Port Corporation[7]
Port of Pescara,Europe,Italy,Mediterranean Sea Adriatic Sea,,
Port of Ploče,Europe,Croatia,Mediterranean Sea Adriatic Sea,,
Port of Port Lavaca – Point Comfort,North America,United States Texas,Gulf of Mexico Lavaca Bay,28.635°N 96.619°W,[4] US rank: 53
Port of Rijeka,Europe,Croatia,Mediterranean Sea Adriatic Sea,,
Port of Rotterdam,Europe,Netherlands,North Sea,,Includes Europoort
Port of South Louisiana,North America,United States Louisiana,Mississippi River,30.033°N 90.618°W,US rank: 1
Port of Southampton,Europe,United Kingdom England,English Channel,,
Port of Spain,Caribbean,Trinidad and Tobago,Caribbean Sea,,
Port of Split,Europe,Croatia,Mediterranean Sea Adriatic Sea,,
Port of Tilbury,Europe,United Kingdom England,North Sea,,
Port of Trieste,Europe,Italy,Mediterranean Sea Adriatic Sea,,
Port of Varna,Europe,Bulgaria,Black Sea,,
Port of Virginia,North America,United States Virginia,Chesapeake Bay via Hampton Roads,36.947°N 76.33°W,US rank: 8; includes Norfolk International Terminals Portsmouth Marine Terminal Newport News Marine Terminal and Virginia International Gateway (VIG) at Portsmouth
Port of Vlorë,Europe,Albania,Mediterranean Sea Adriatic Sea,,
Port Penrhyn,Europe,United Kingdom Wales,Irish Sea,,
Port Royal,North America,United States South Carolina,,,[4]
Port Said,Africa,Egypt,Mediterranean Sea Levantine Sea,,Suez Canal
Port Sulphur,North America,United States Louisiana,Gulf of Mexico,,[4]
Port Talbot,Europe,United Kingdom Wales,Bristol Channel,,
Port Tampa Bay,North America,United States Florida,Gulf of Mexico Tampa Bay,27.785°N 82.522°W,[4] US rank: 20
Port-au-Prince,Caribbean,Haiti,Caribbean Sea,,
Portimão,Europe,Portugal,,,
Portland,North America,United States Maine,Casco Bay,43.65°N 70.251°W,[4] US rank: 37
Portland Harbour,Europe,United Kingdom England,English Channel,,
Porto,Europe,Portugal,Atlantic Ocean,,
Porto Marghera,Europe,Italy,Mediterranean Sea Adriatic Sea,,
Porto-Novo,Africa,Benin,,,
Portsmouth,Europe,United Kingdom England,English Channel,,HMNB Portsmouth
Portsmouth,Europe,United Kingdom England,English Channel,,
